# Constructed from biom file
#OTU ID	SRR12442322	SRR12442323	SRR12442324	SRR12442325	SRR12442331	SRR12442342	SRR12442353	SRR12442354	taxonomy
AY485520.1.1762	11.0	16.0	16.0	0.0	7.0	2079.0	98.0	1800.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Cymatosirales; f__Cymatosiraceae
HQ912569.1.1422	49.0	39.0	19.0	1.0	0.0	2903.0	203.0	823.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Cymatosirales; f__Cymatosiraceae
DQ386760.1.1531	108.0	128.0	551.0	2.0	13.0	766.0	498.0	511.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Kareniaceae; g__Karlodinium; s__uncultured_marine
KJ760745.1.1794	6.0	0.0	67.0	0.0	8.0	479.0	32.0	41.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Syndiniales
JF826336.1.1604	1.0	1.0	308.0	11.0	0.0	98.0	173.0	5.0	d__Eukaryota
AY343928.1.1812	34.0	73.0	90.0	319.0	91.0	0.0	7.0	10.0	d__Eukaryota; p__Picozoa; c__Picozoa; o__Picozoa; f__Picozoa; g__Picozoa; s__uncultured_rhodophyte
AF290539.1.1815	30.0	81.0	2.0	144.0	6.0	741.0	13.0	11.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Protaspidae; g__Cryothecomonas; s__uncultured_eukaryote
KJ759275.1.1806	20.0	28.0	47.0	169.0	238.0	2.0	3.0	19.0	d__Eukaryota; p__Picozoa; c__Picomonadida; o__Picomonadida; f__Picomonadida; g__Picomonadida; s__uncultured_eukaryote
AF145226.1.1782	77.0	82.0	308.0	0.0	0.0	3.0	1.0	5.0	d__Eukaryota; p__Diatomea; c__Mediophyceae; o__Mediophyceae; f__Mediophyceae; g__Chaetoceros; s__uncultured_eukaryote
KJ763331.1.1798	40.0	53.0	17.0	4.0	154.0	43.0	14.0	331.0	d__Eukaryota; p__Haptophyta; c__Prymnesiophyceae; o__Prymnesiales; f__Chrysochromulinaceae; g__Chrysochromulina
KM055115.1.1791	1.0	20.0	37.0	11.0	51.0	215.0	34.0	31.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__Picochlorum_maculatum
DQ222878.1.1801	20.0	20.0	49.0	162.0	36.0	0.0	0.0	0.0	d__Eukaryota; p__Picozoa; c__Picomonadida
JX457432.1.1523	0.0	3.0	31.0	1.0	11.0	348.0	24.0	21.0	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae
KJ763476.1.1798	53.0	117.0	124.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_eukaryote
KJ763293.1.1793	196.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales
AB191410.1.1725	0.0	0.0	0.0	0.0	0.0	72.0	236.0	9.0	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Ebriacea; f__Ebriacea; g__Ebria; s__uncultured_eukaryote
